party,state,lat,long,state_c,Donations,Donors
Democrats,AL,32.62708187,-86.68851471,AL,35668,585
Democrats,AR,34.1740675,-111.9244385,AR,29023,485
Democrats,AZ,34.75275421,-92.13734055,AZ,118246,3820
Democrats,CA,37.27949905,-119.2583046,CA,4784366,53711
Democrats,CO,39.00123596,-105.5531502,CO,243338,5285
Democrats,DC,38.90096855,-77.03417587,DC,655220,2357
Democrats,DE,39.15307045,-75.42702866,DE,51201,542
Democrats,FL,28.06920147,-81.7,FL,692766,8379
Democrats,GA,32.67578506,-83.22784805,GA,205799,2678
Democrats,IA,41.94337463,-93.3720665,IA,38094,1081
Democrats,ID,45.49571228,-115.5,ID,30295,767
Democrats,IL,39.75467682,-89.49887085,IL,613151,6996
Democrats,IN,39.7833252,-86.450737,IN,69622,1521
Democrats,KS,38.50849152,-98.32241821,KS,34923,1069
Democrats,KY,37.81521606,-85.68584061,KY,101056,1151
Democrats,LA,31.00847626,-92.5,LA,66271,826
Democrats,MD,38.82648659,-77.27767944,MD,497654,4936
Democrats,ME,45.26653099,-69.04141617,ME,83969,1800
Democrats,MI,43,-84.7,MI,257899,4815
Democrats,MN,46.43823051,-93.34915161,MN,135938,3086
Democrats,MO,38.3079586,-92.4238205,MO,104890,1985
Democrats,MS,32.58983994,-89.87129211,MS,11385,249
Democrats,MT,46.68746567,-110.0451355,MT,32546,714
Democrats,NC,35.22830963,-79.93047714,NC,163340,3738
Democrats,ND,47.46955299,-100.293396,ND,2891,89
Democrats,NE,41.50219536,-99.69752121,NE,24630,598
Democrats,NH,43.6,-71.64264297,NH,261937,1911
Democrats,NJ,40.14715385,-74.72515869,NJ,416438,4945
Democrats,NM,34.1740675,-106.0287056,NM,78289,2353
Democrats,NV,38.5142231,-117.0209045,NV,86528,1202
Democrats,NY,42.74838257,-75.82236862,NY,3041323,20166
Democrats,OH,40.19871902,-82.66635132,OH,197989,3691
Democrats,OK,35.34290123,-98.72349167,OK,88611,1044
Democrats,OR,44.11488533,-120.4987564,OR,235425,7592
Democrats,PA,40.9922657,-77.63005066,PA,444532,6484
Democrats,SC,33.62402725,-80.96180344,SC,51881,992
Democrats,SD,44.20656013,-100.2475624,SD,9444,232
Democrats,TN,35.82705116,-85.96658707,TN,166057,1786
Democrats,TX,31.21474171,-100.092865,TX,766656,7187
Democrats,UT,39.49971008,-111.5434227,UT,64507,1052
Democrats,VA,37.99856377,-79.43200684,VA,420040,4331
Democrats,VT,44.4,-72.7,VT,67602,1309
Democrats,WA,47.26902008,-120.8024178,WA,504612,10538
Democrats,WI,44.7164917,-89.94004822,WI,171190,3058
Democrats,WV,38.92388725,-80.16825485,WV,12912,633
Democrats,WY,42.99761581,-107.5585022,WY,18540,315
