party,state,lat,long,state_c,Donations,Donors
Independent,AL,32.62708187,-86.68851471,AL,5400,2
Independent,AR,34.1740675,-111.9244385,AR,NA,NA
Independent,AZ,34.75275421,-92.13734055,AZ,1750,6
Independent,CA,37.27949905,-119.2583046,CA,22450,23
Independent,CO,39.00123596,-105.5531502,CO,5650,3
Independent,DC,38.90096855,-77.03417587,DC,275,2
Independent,DE,39.15307045,-75.42702866,DE,NA,NA
Independent,FL,28.06920147,-81.7,FL,13350,17
Independent,GA,32.67578506,-83.22784805,GA,3550,4
Independent,IA,41.94337463,-93.3720665,IA,NA,NA
Independent,ID,45.49571228,-115.5,ID,NA,NA
Independent,IL,39.75467682,-89.49887085,IL,1756,4
Independent,IN,39.7833252,-86.450737,IN,2700,1
Independent,KS,38.50849152,-98.32241821,KS,1000,1
Independent,KY,37.81521606,-85.68584061,KY,500,1
Independent,LA,31.00847626,-92.5,LA,3200,2
Independent,MD,38.82648659,-77.27767944,MD,250,1
Independent,ME,45.26653099,-69.04141617,ME,NA,NA
Independent,MI,43,-84.7,MI,3700,4
Independent,MN,46.43823051,-93.34915161,MN,28,1
Independent,MO,38.3079586,-92.4238205,MO,NA,NA
Independent,MS,32.58983994,-89.87129211,MS,NA,NA
Independent,MT,46.68746567,-110.0451355,MT,NA,NA
Independent,NC,35.22830963,-79.93047714,NC,1000,2
Independent,ND,47.46955299,-100.293396,ND,NA,NA
Independent,NE,41.50219536,-99.69752121,NE,NA,NA
Independent,NH,43.6,-71.64264297,NH,950,4
Independent,NJ,40.14715385,-74.72515869,NJ,NA,NA
Independent,NM,34.1740675,-106.0287056,NM,716,3
Independent,NV,38.5142231,-117.0209045,NV,NA,NA
Independent,NY,42.74838257,-75.82236862,NY,1250,4
Independent,OH,40.19871902,-82.66635132,OH,NA,NA
Independent,OK,35.34290123,-98.72349167,OK,20,3
Independent,OR,44.11488533,-120.4987564,OR,NA,NA
Independent,PA,40.9922657,-77.63005066,PA,2950,2
Independent,SC,33.62402725,-80.96180344,SC,1500,2
Independent,SD,44.20656013,-100.2475624,SD,350,2
Independent,TN,35.82705116,-85.96658707,TN,2050,4
Independent,TX,31.21474171,-100.092865,TX,23175,19
Independent,UT,39.49971008,-111.5434227,UT,250,1
Independent,VA,37.99856377,-79.43200684,VA,600,3
Independent,VT,44.4,-72.7,VT,NA,NA
Independent,WA,47.26902008,-120.8024178,WA,500,2
Independent,WI,44.7164917,-89.94004822,WI,NA,NA
Independent,WV,38.92388725,-80.16825485,WV,NA,NA
Independent,WY,42.99761581,-107.5585022,WY,NA,NA
