party,state,lat,long,state_c,Donations,Donors
Republican,AL,32.62708187,-86.68851471,AL,5442,35
Republican,AR,34.1740675,-111.9244385,AR,6996,35
Republican,AZ,34.75275421,-92.13734055,AZ,33335,106
Republican,CA,37.27949905,-119.2583046,CA,268165,588
Republican,CO,39.00123596,-105.5531502,CO,84975,140
Republican,DC,38.90096855,-77.03417587,DC,43400,39
Republican,DE,39.15307045,-75.42702866,DE,800,2
Republican,FL,28.06920147,-81.7,FL,299333,499
Republican,GA,32.67578506,-83.22784805,GA,25335,46
Republican,IA,41.94337463,-93.3720665,IA,25642,31
Republican,ID,45.49571228,-115.5,ID,5875,31
Republican,IL,39.75467682,-89.49887085,IL,74270,136
Republican,IN,39.7833252,-86.450737,IN,12679,103
Republican,KS,38.50849152,-98.32241821,KS,3135,19
Republican,KY,37.81521606,-85.68584061,KY,22415,38
Republican,LA,31.00847626,-92.5,LA,8475,25
Republican,MD,38.82648659,-77.27767944,MD,34005,72
Republican,ME,45.26653099,-69.04141617,ME,7650,17
Republican,MI,43,-84.7,MI,29912,77
Republican,MN,46.43823051,-93.34915161,MN,11990,38
Republican,MO,38.3079586,-92.4238205,MO,16050,34
Republican,MS,32.58983994,-89.87129211,MS,7010,40
Republican,MT,46.68746567,-110.0451355,MT,1145,6
Republican,NC,35.22830963,-79.93047714,NC,13380,42
Republican,ND,47.46955299,-100.293396,ND,715,4
Republican,NE,41.50219536,-99.69752121,NE,2750,22
Republican,NH,43.6,-71.64264297,NH,62150,144
Republican,NJ,40.14715385,-74.72515869,NJ,64700,146
Republican,NM,34.1740675,-106.0287056,NM,4240,18
Republican,NV,38.5142231,-117.0209045,NV,20915,50
Republican,NY,42.74838257,-75.82236862,NY,192244,358
Republican,OH,40.19871902,-82.66635132,OH,51055,101
Republican,OK,35.34290123,-98.72349167,OK,9003,17
Republican,OR,44.11488533,-120.4987564,OR,6710,54
Republican,PA,40.9922657,-77.63005066,PA,66037,184
Republican,SC,33.62402725,-80.96180344,SC,13425,45
Republican,SD,44.20656013,-100.2475624,SD,1325,15
Republican,TN,35.82705116,-85.96658707,TN,23895,56
Republican,TX,31.21474171,-100.092865,TX,198346,362
Republican,UT,39.49971008,-111.5434227,UT,19535,27
Republican,VA,37.99856377,-79.43200684,VA,84711,137
Republican,VT,44.4,-72.7,VT,3155,6
Republican,WA,47.26902008,-120.8024178,WA,53996,121
Republican,WI,44.7164917,-89.94004822,WI,7385,50
Republican,WV,38.92388725,-80.16825485,WV,3190,12
Republican,WY,42.99761581,-107.5585022,WY,11874,12
