st_abrev,st_name
AL,alabama
AR,arizona
AZ,arkansas
CA,california
CO,colorado
CT,connecticut
DE,delaware
DC,district of columbia
FL,florida
GA,georgia
ID,idaho
IL,illinois
IN,indiana
IA,iowa
KS,kansas
KY,kentucky
LA,louisiana
ME,maine
MD,maryland
MA,massachusetts
MI,michigan
MN,minnesota
MS,mississippi
MO,missouri
MT,montana
NE,nebraska
NV,nevada
NH,new hampshire
NJ,new jersey
NM,new mexico
NY,new york
NC,north carolina
ND,north dakota
OH,ohio
OK,oklahoma
OR,oregon
PA,pennsylvania
RI,rhode island
SC,south carolina
SD,south dakota
TN,tennessee
TX,texas
UT,utah
VT,vermont
VA,virginia
WA,washington
WV,west virginia
WI,wisconsin
WY,wyoming
